"","Date","VIX.Close","Month"
"66",2000-04-05,28.41,"2000-04"
"67",2000-04-06,27.15,"2000-04"
"68",2000-04-07,24.39,"2000-04"
"69",2000-04-10,25.99,"2000-04"
"70",2000-04-11,27.25,"2000-04"
"71",2000-04-12,28.98,"2000-04"
"72",2000-04-13,29.4,"2000-04"
"73",2000-04-14,33.49,"2000-04"
"74",2000-04-17,28.95,"2000-04"
"75",2000-04-18,26.12,"2000-04"
"76",2000-04-19,27.02,"2000-04"
"77",2000-04-20,25.85,"2000-04"
"78",2000-04-24,27.37,"2000-04"
"79",2000-04-25,25.24,"2000-04"
"80",2000-04-26,26.97,"2000-04"
"81",2000-04-27,26.19,"2000-04"
"82",2000-04-28,26.2,"2000-04"
"83",2000-05-01,25.88,"2000-05"
"84",2000-05-02,28.5,"2000-05"
"85",2000-05-03,31.63,"2000-05"
"86",2000-05-04,30.77,"2000-05"
"87",2000-05-05,27.53,"2000-05"
"88",2000-05-08,28.2,"2000-05"
"89",2000-05-09,28.93,"2000-05"
"90",2000-05-10,29.87,"2000-05"
"91",2000-05-11,27.76,"2000-05"
"92",2000-05-12,26.05,"2000-05"
"93",2000-05-15,24.86,"2000-05"
"94",2000-05-16,24.34,"2000-05"
"95",2000-05-17,23.98,"2000-05"
"96",2000-05-18,23.96,"2000-05"
"97",2000-05-19,25.44,"2000-05"
"98",2000-05-22,26,"2000-05"
"99",2000-05-23,25.87,"2000-05"
"100",2000-05-24,24.32,"2000-05"
"101",2000-05-25,24.58,"2000-05"
"102",2000-05-26,24.47,"2000-05"
"103",2000-05-30,23.62,"2000-05"
"104",2000-05-31,23.65,"2000-05"
"105",2000-06-01,22.36,"2000-06"
"106",2000-06-02,21.48,"2000-06"
"107",2000-06-05,22.71,"2000-06"
"108",2000-06-06,23.05,"2000-06"
"109",2000-06-07,22.48,"2000-06"
"110",2000-06-08,22.77,"2000-06"
"111",2000-06-09,22.14,"2000-06"
"112",2000-06-12,22.32,"2000-06"
"113",2000-06-13,21.67,"2000-06"
"114",2000-06-14,21.48,"2000-06"
"115",2000-06-15,20.68,"2000-06"
"116",2000-06-16,20.5,"2000-06"
"117",2000-06-19,20.63,"2000-06"
"118",2000-06-20,20.88,"2000-06"
"119",2000-06-21,20.61,"2000-06"
"120",2000-06-22,22,"2000-06"
"121",2000-06-23,22.34,"2000-06"
"122",2000-06-26,22.45,"2000-06"
"123",2000-06-27,21.8,"2000-06"
"124",2000-06-28,20.29,"2000-06"
"125",2000-06-29,19.7,"2000-06"
"126",2000-06-30,19.54,"2000-06"
"127",2000-07-03,19.83,"2000-07"
"128",2000-07-05,21.16,"2000-07"
"129",2000-07-06,20.94,"2000-07"
"130",2000-07-07,19.22,"2000-07"
"131",2000-07-10,20.33,"2000-07"
"132",2000-07-11,20.11,"2000-07"
"133",2000-07-12,20.03,"2000-07"
"134",2000-07-13,20.03,"2000-07"
"135",2000-07-14,19.32,"2000-07"
"136",2000-07-17,19.45,"2000-07"
"137",2000-07-18,19.75,"2000-07"
"138",2000-07-19,19.65,"2000-07"
"139",2000-07-20,18.94,"2000-07"
"140",2000-07-21,18.94,"2000-07"
"141",2000-07-24,19.92,"2000-07"
"142",2000-07-25,19.39,"2000-07"
"143",2000-07-26,19.67,"2000-07"
"144",2000-07-27,19.6,"2000-07"
"145",2000-07-28,20.84,"2000-07"
"146",2000-07-31,20.74,"2000-07"
"147",2000-08-01,20.55,"2000-08"
"148",2000-08-02,20,"2000-08"
"149",2000-08-03,19.99,"2000-08"
"150",2000-08-04,18.62,"2000-08"
"151",2000-08-07,19.03,"2000-08"
"152",2000-08-08,18.79,"2000-08"
"153",2000-08-09,19.18,"2000-08"
"154",2000-08-10,19.19,"2000-08"
"155",2000-08-11,18.55,"2000-08"
"156",2000-08-14,17.88,"2000-08"
"157",2000-08-15,17.98,"2000-08"
"158",2000-08-16,18.02,"2000-08"
"159",2000-08-17,17.48,"2000-08"
"160",2000-08-18,17.05,"2000-08"
"161",2000-08-21,17.35,"2000-08"
"162",2000-08-22,17.47,"2000-08"
"163",2000-08-23,17.38,"2000-08"
"164",2000-08-24,17.04,"2000-08"
"165",2000-08-25,16.53,"2000-08"
"166",2000-08-28,16.54,"2000-08"
"167",2000-08-29,16.89,"2000-08"
"168",2000-08-30,17.69,"2000-08"
"169",2000-08-31,16.84,"2000-08"
"170",2000-09-01,17.53,"2000-09"
"171",2000-09-05,19.82,"2000-09"
"172",2000-09-06,20.79,"2000-09"
"173",2000-09-07,19.42,"2000-09"
"174",2000-09-08,18.46,"2000-09"
"175",2000-09-11,18.4,"2000-09"
"176",2000-09-12,18.59,"2000-09"
"177",2000-09-13,18.32,"2000-09"
"178",2000-09-14,18.26,"2000-09"
"179",2000-09-15,18.52,"2000-09"
"180",2000-09-18,20.25,"2000-09"
"181",2000-09-19,19.54,"2000-09"
"182",2000-09-20,19.93,"2000-09"
"183",2000-09-21,20.18,"2000-09"
"184",2000-09-22,20.74,"2000-09"
"185",2000-09-25,21.41,"2000-09"
"186",2000-09-26,21.88,"2000-09"
"187",2000-09-27,21.67,"2000-09"
"188",2000-09-28,19.47,"2000-09"
"189",2000-09-29,20.57,"2000-09"
"190",2000-10-02,21.23,"2000-10"
"191",2000-10-03,21.85,"2000-10"
"192",2000-10-04,21.54,"2000-10"
"193",2000-10-05,21.03,"2000-10"
"194",2000-10-06,22.71,"2000-10"
"195",2000-10-09,24.02,"2000-10"
"196",2000-10-10,24.86,"2000-10"
"197",2000-10-11,26.57,"2000-10"
"198",2000-10-12,30.51,"2000-10"
"199",2000-10-13,27.6,"2000-10"
"200",2000-10-16,26.79,"2000-10"
"201",2000-10-17,27.84,"2000-10"
"202",2000-10-18,28.72,"2000-10"
"203",2000-10-19,25.09,"2000-10"
"204",2000-10-20,24.24,"2000-10"
"205",2000-10-23,24.69,"2000-10"
"206",2000-10-24,24.28,"2000-10"
"207",2000-10-25,26.65,"2000-10"
"208",2000-10-26,28.62,"2000-10"
"209",2000-10-27,26.47,"2000-10"
"210",2000-10-30,25.46,"2000-10"
"211",2000-10-31,23.63,"2000-10"
"212",2000-11-01,24.28,"2000-11"
"213",2000-11-02,23.92,"2000-11"
"214",2000-11-03,23.67,"2000-11"
"215",2000-11-06,24.52,"2000-11"
"216",2000-11-07,24.91,"2000-11"
"217",2000-11-08,25.66,"2000-11"
"218",2000-11-09,27.2,"2000-11"
"219",2000-11-10,28.53,"2000-11"
"220",2000-11-13,29.06,"2000-11"
"221",2000-11-14,26.81,"2000-11"
"222",2000-11-15,26.15,"2000-11"
"223",2000-11-16,25.05,"2000-11"
"224",2000-11-17,24.81,"2000-11"
"225",2000-11-20,27.43,"2000-11"
"226",2000-11-21,26.62,"2000-11"
"227",2000-11-22,27.71,"2000-11"
"228",2000-11-24,26,"2000-11"
"229",2000-11-27,26.93,"2000-11"
"230",2000-11-28,27.64,"2000-11"
"231",2000-11-29,27.49,"2000-11"
"232",2000-11-30,29.65,"2000-11"
"233",2000-12-01,27.48,"2000-12"
"234",2000-12-04,27.78,"2000-12"
"235",2000-12-05,24.99,"2000-12"
"236",2000-12-06,25.07,"2000-12"
"237",2000-12-07,25.34,"2000-12"
"238",2000-12-08,22.41,"2000-12"
"239",2000-12-11,23.51,"2000-12"
"240",2000-12-12,24.88,"2000-12"
"241",2000-12-13,23.63,"2000-12"
"242",2000-12-14,24.86,"2000-12"
"243",2000-12-15,26.55,"2000-12"
"244",2000-12-18,27.7,"2000-12"
"245",2000-12-19,27.17,"2000-12"
"246",2000-12-20,31.74,"2000-12"
"247",2000-12-21,29.66,"2000-12"
"248",2000-12-22,27.55,"2000-12"
"249",2000-12-26,28.73,"2000-12"
"250",2000-12-27,28.14,"2000-12"
"251",2000-12-28,26.57,"2000-12"
"252",2000-12-29,26.85,"2000-12"
"253",2001-01-02,29.99,"2001-01"
"254",2001-01-03,26.6,"2001-01"
"255",2001-01-04,26.97,"2001-01"
"256",2001-01-05,28.67,"2001-01"
"257",2001-01-08,29.84,"2001-01"
"258",2001-01-09,27.99,"2001-01"
"259",2001-01-10,26.8,"2001-01"
"260",2001-01-11,25.79,"2001-01"
"261",2001-01-12,24.56,"2001-01"
"262",2001-01-16,25.28,"2001-01"
"263",2001-01-17,24.93,"2001-01"
"264",2001-01-18,23.37,"2001-01"
"265",2001-01-19,23.24,"2001-01"
"266",2001-01-22,23.25,"2001-01"
"267",2001-01-23,21.57,"2001-01"
"268",2001-01-24,22.03,"2001-01"
"269",2001-01-25,22.64,"2001-01"
"270",2001-01-26,22.57,"2001-01"
"271",2001-01-29,22.61,"2001-01"
"272",2001-01-30,22.57,"2001-01"
"273",2001-01-31,22.02,"2001-01"
"274",2001-02-01,21.66,"2001-02"
"275",2001-02-02,21.95,"2001-02"
"276",2001-02-05,22.19,"2001-02"
"277",2001-02-06,21.98,"2001-02"
"278",2001-02-07,21.67,"2001-02"
"279",2001-02-08,21.46,"2001-02"
"280",2001-02-09,22.03,"2001-02"
"281",2001-02-12,21.92,"2001-02"
"282",2001-02-13,21.37,"2001-02"
"283",2001-02-14,21.52,"2001-02"
"284",2001-02-15,20.27,"2001-02"
"285",2001-02-16,22.12,"2001-02"
"286",2001-02-20,24.69,"2001-02"
"287",2001-02-21,25.75,"2001-02"
"288",2001-02-22,26.76,"2001-02"
"289",2001-02-23,27.21,"2001-02"
"290",2001-02-26,25.43,"2001-02"
"291",2001-02-27,26.49,"2001-02"
"292",2001-02-28,28.35,"2001-02"
"293",2001-03-01,28.08,"2001-03"
"294",2001-03-02,27.43,"2001-03"
"295",2001-03-05,27.12,"2001-03"
"296",2001-03-06,25.89,"2001-03"
"297",2001-03-07,24.12,"2001-03"
"298",2001-03-08,24.29,"2001-03"
"299",2001-03-09,25.62,"2001-03"
"300",2001-03-12,30.32,"2001-03"
"301",2001-03-13,27.55,"2001-03"
"302",2001-03-14,29.61,"2001-03"
"303",2001-03-15,28.56,"2001-03"
"304",2001-03-16,29.91,"2001-03"
"305",2001-03-19,29.78,"2001-03"
"306",2001-03-20,30.96,"2001-03"
"307",2001-03-21,31.93,"2001-03"
"308",2001-03-22,32.84,"2001-03"
"309",2001-03-23,30.45,"2001-03"
"310",2001-03-26,29.04,"2001-03"
"311",2001-03-27,27.04,"2001-03"
"312",2001-03-28,28.58,"2001-03"
"313",2001-03-29,29.17,"2001-03"
"314",2001-03-30,28.64,"2001-03"
"315",2001-04-02,31.21,"2001-04"
"316",2001-04-03,34.72,"2001-04"
"317",2001-04-04,34.07,"2001-04"
"318",2001-04-05,29.94,"2001-04"
"319",2001-04-06,31.69,"2001-04"
"320",2001-04-09,31.91,"2001-04"
"321",2001-04-10,29.44,"2001-04"
"322",2001-04-11,28.46,"2001-04"
"323",2001-04-12,26.12,"2001-04"
"324",2001-04-16,26.33,"2001-04"
"325",2001-04-17,25.61,"2001-04"
"326",2001-04-18,24.13,"2001-04"
"327",2001-04-19,24.16,"2001-04"
"328",2001-04-20,25.38,"2001-04"
"329",2001-04-23,28.16,"2001-04"
"330",2001-04-24,28.49,"2001-04"
"331",2001-04-25,27.4,"2001-04"
"332",2001-04-26,25.96,"2001-04"
"333",2001-04-27,24.02,"2001-04"
"334",2001-04-30,25.48,"2001-04"
"335",2001-05-01,24.2,"2001-05"
"336",2001-05-02,24.23,"2001-05"
"337",2001-05-03,25.78,"2001-05"
"338",2001-05-04,23.91,"2001-05"
"339",2001-05-07,24.86,"2001-05"
"340",2001-05-08,24.44,"2001-05"
"341",2001-05-09,24.35,"2001-05"
"342",2001-05-10,24,"2001-05"
"343",2001-05-11,23.54,"2001-05"
"344",2001-05-14,24.26,"2001-05"
"345",2001-05-15,23.71,"2001-05"
"346",2001-05-16,21.89,"2001-05"
"347",2001-05-17,21.47,"2001-05"
"348",2001-05-18,21.23,"2001-05"
"349",2001-05-21,20.76,"2001-05"
"350",2001-05-22,21.35,"2001-05"
"351",2001-05-23,22.08,"2001-05"
"352",2001-05-24,20.57,"2001-05"
"353",2001-05-25,20.6,"2001-05"
"354",2001-05-29,22.14,"2001-05"
"355",2001-05-30,22.76,"2001-05"
"356",2001-05-31,22.64,"2001-05"
"357",2001-06-01,21.59,"2001-06"
"358",2001-06-04,21.38,"2001-06"
"359",2001-06-05,19.58,"2001-06"
"360",2001-06-06,20.39,"2001-06"
"361",2001-06-07,19.67,"2001-06"
"362",2001-06-08,19.92,"2001-06"
"363",2001-06-11,20.7,"2001-06"
"364",2001-06-12,20.7,"2001-06"
"365",2001-06-13,21.45,"2001-06"
"366",2001-06-14,23.12,"2001-06"
"367",2001-06-15,22.81,"2001-06"
"368",2001-06-18,23.17,"2001-06"
"369",2001-06-19,22.34,"2001-06"
"370",2001-06-20,21.71,"2001-06"
"371",2001-06-21,19.38,"2001-06"
"372",2001-06-22,20.02,"2001-06"
"373",2001-06-25,20.67,"2001-06"
"374",2001-06-26,21.2,"2001-06"
"375",2001-06-27,20.88,"2001-06"
"376",2001-06-28,20.01,"2001-06"
"377",2001-06-29,19.06,"2001-06"
"378",2001-07-02,18.76,"2001-07"
"379",2001-07-03,18.92,"2001-07"
"380",2001-07-05,20.09,"2001-07"
"381",2001-07-06,21.63,"2001-07"
"382",2001-07-09,22.48,"2001-07"
"383",2001-07-10,23.25,"2001-07"
"384",2001-07-11,24.01,"2001-07"
"385",2001-07-12,22.09,"2001-07"
"386",2001-07-13,21.14,"2001-07"
"387",2001-07-16,22.91,"2001-07"
"388",2001-07-17,22.61,"2001-07"
"389",2001-07-18,23.6,"2001-07"
"390",2001-07-19,22.51,"2001-07"
"391",2001-07-20,22.34,"2001-07"
"392",2001-07-23,23.74,"2001-07"
"393",2001-07-24,25.24,"2001-07"
"394",2001-07-25,24,"2001-07"
"395",2001-07-26,23.01,"2001-07"
"396",2001-07-27,22,"2001-07"
"397",2001-07-30,22.69,"2001-07"
"398",2001-07-31,21.62,"2001-07"
"399",2001-08-01,20.56,"2001-08"
"400",2001-08-02,20.09,"2001-08"
"401",2001-08-03,19.89,"2001-08"
"402",2001-08-06,21.89,"2001-08"
"403",2001-08-07,21.01,"2001-08"
"404",2001-08-08,22.32,"2001-08"
"405",2001-08-09,21.75,"2001-08"
"406",2001-08-10,20.55,"2001-08"
"407",2001-08-13,20.42,"2001-08"
"408",2001-08-14,20.48,"2001-08"
"409",2001-08-15,20.91,"2001-08"
"410",2001-08-16,21.54,"2001-08"
"411",2001-08-17,23.84,"2001-08"
"412",2001-08-20,22.87,"2001-08"
"413",2001-08-21,24.4,"2001-08"
"414",2001-08-22,22.44,"2001-08"
"415",2001-08-23,22.23,"2001-08"
"416",2001-08-24,19.71,"2001-08"
"417",2001-08-27,20.56,"2001-08"
"418",2001-08-28,22,"2001-08"
"419",2001-08-29,23.03,"2001-08"
"420",2001-08-30,25.41,"2001-08"
"421",2001-08-31,24.92,"2001-08"
"422",2001-09-04,25.85,"2001-09"
"423",2001-09-05,26.35,"2001-09"
"424",2001-09-06,28.61,"2001-09"
"425",2001-09-07,30.99,"2001-09"
"426",2001-09-10,31.84,"2001-09"
"427",2001-09-17,41.76,"2001-09"
"428",2001-09-18,38.87,"2001-09"
"429",2001-09-19,40.56,"2001-09"
"430",2001-09-20,43.74,"2001-09"
"431",2001-09-21,42.66,"2001-09"
"432",2001-09-24,37.75,"2001-09"
"433",2001-09-25,35.81,"2001-09"
"434",2001-09-26,35.26,"2001-09"
"435",2001-09-27,34,"2001-09"
"436",2001-09-28,31.93,"2001-09"
"437",2001-10-01,32.32,"2001-10"
"438",2001-10-02,31.18,"2001-10"
"439",2001-10-03,31.34,"2001-10"
"440",2001-10-04,31.97,"2001-10"
"441",2001-10-05,33.39,"2001-10"
"442",2001-10-08,35.12,"2001-10"
"443",2001-10-09,34.83,"2001-10"
"444",2001-10-10,31.6,"2001-10"
"445",2001-10-11,31.5,"2001-10"
"446",2001-10-12,35.27,"2001-10"
"447",2001-10-15,35.31,"2001-10"
"448",2001-10-16,32.88,"2001-10"
"449",2001-10-17,35.08,"2001-10"
"450",2001-10-18,34.95,"2001-10"
"451",2001-10-19,34.11,"2001-10"
"452",2001-10-22,32.25,"2001-10"
"453",2001-10-23,32,"2001-10"
"454",2001-10-24,30.95,"2001-10"
"455",2001-10-25,29.46,"2001-10"
"456",2001-10-26,28.42,"2001-10"
"457",2001-10-29,31.64,"2001-10"
"458",2001-10-30,33.46,"2001-10"
"459",2001-10-31,33.56,"2001-10"
"460",2001-11-01,32.31,"2001-11"
"461",2001-11-02,30.71,"2001-11"
"462",2001-11-05,30.5,"2001-11"
"463",2001-11-06,28.8,"2001-11"
"464",2001-11-07,29.13,"2001-11"
"465",2001-11-08,28.62,"2001-11"
"466",2001-11-09,27.44,"2001-11"
"467",2001-11-12,29.35,"2001-11"
"468",2001-11-13,26.47,"2001-11"
"469",2001-11-14,26.56,"2001-11"
"470",2001-11-15,25.56,"2001-11"
"471",2001-11-16,25.07,"2001-11"
"472",2001-11-19,24.46,"2001-11"
"473",2001-11-20,24.12,"2001-11"
"474",2001-11-21,24.19,"2001-11"
"475",2001-11-23,23.25,"2001-11"
"476",2001-11-26,23.79,"2001-11"
"477",2001-11-27,24,"2001-11"
"478",2001-11-28,25.9,"2001-11"
"479",2001-11-29,25.18,"2001-11"
"480",2001-11-30,23.84,"2001-11"
"481",2001-12-03,25.77,"2001-12"
"482",2001-12-04,24.08,"2001-12"
"483",2001-12-05,23.02,"2001-12"
"484",2001-12-06,23.71,"2001-12"
"485",2001-12-07,23.49,"2001-12"
"486",2001-12-10,25.62,"2001-12"
"487",2001-12-11,25.3,"2001-12"
"488",2001-12-12,24.87,"2001-12"
"489",2001-12-13,25.91,"2001-12"
"490",2001-12-14,24.63,"2001-12"
"491",2001-12-17,24.26,"2001-12"
"492",2001-12-18,23.29,"2001-12"
"493",2001-12-19,22.58,"2001-12"
"494",2001-12-20,23.67,"2001-12"
"495",2001-12-21,22.5,"2001-12"
"496",2001-12-24,22.62,"2001-12"
"497",2001-12-26,22.29,"2001-12"
"498",2001-12-27,21.59,"2001-12"
"499",2001-12-28,21.4,"2001-12"
"500",2001-12-31,23.8,"2001-12"
"501",2002-01-02,22.71,"2002-01"
"502",2002-01-03,21.34,"2002-01"
"503",2002-01-04,20.45,"2002-01"
"504",2002-01-07,21.94,"2002-01"
"505",2002-01-08,21.83,"2002-01"
"506",2002-01-09,22.13,"2002-01"
"507",2002-01-10,22.36,"2002-01"
"508",2002-01-11,22.6,"2002-01"
"509",2002-01-14,23.58,"2002-01"
"510",2002-01-15,22.7,"2002-01"
"511",2002-01-16,23.45,"2002-01"
"512",2002-01-17,22.25,"2002-01"
"513",2002-01-18,22.52,"2002-01"
"514",2002-01-22,23.61,"2002-01"
"515",2002-01-23,21.88,"2002-01"
"516",2002-01-24,21.15,"2002-01"
"517",2002-01-25,21.01,"2002-01"
"518",2002-01-28,21.14,"2002-01"
"519",2002-01-29,24.35,"2002-01"
"520",2002-01-30,23.22,"2002-01"
"521",2002-01-31,21.09,"2002-01"
"522",2002-02-01,21.12,"2002-02"
"523",2002-02-04,24.87,"2002-02"
"524",2002-02-05,25.45,"2002-02"
"525",2002-02-06,26.09,"2002-02"
"526",2002-02-07,25.11,"2002-02"
"527",2002-02-08,23.26,"2002-02"
"528",2002-02-11,21.78,"2002-02"
"529",2002-02-12,21.62,"2002-02"
"530",2002-02-13,20.85,"2002-02"
"531",2002-02-14,21.77,"2002-02"
"532",2002-02-15,22.37,"2002-02"
"533",2002-02-19,24.43,"2002-02"
"534",2002-02-20,22.66,"2002-02"
"535",2002-02-21,23.8,"2002-02"
"536",2002-02-22,22.86,"2002-02"
"537",2002-02-25,21.84,"2002-02"
"538",2002-02-26,21.68,"2002-02"
"539",2002-02-27,21.49,"2002-02"
"540",2002-02-28,21.59,"2002-02"
"541",2002-03-01,19.96,"2002-03"
"542",2002-03-04,20.5,"2002-03"
"543",2002-03-05,20.3,"2002-03"
"544",2002-03-06,19.94,"2002-03"
"545",2002-03-07,20.04,"2002-03"
"546",2002-03-08,19.27,"2002-03"
"547",2002-03-11,19.84,"2002-03"
"548",2002-03-12,19.59,"2002-03"
"549",2002-03-13,19.46,"2002-03"
"550",2002-03-14,19.2,"2002-03"
"551",2002-03-15,18.42,"2002-03"
"552",2002-03-18,18.93,"2002-03"
"553",2002-03-19,18.16,"2002-03"
"554",2002-03-20,18.46,"2002-03"
"555",2002-03-21,18.15,"2002-03"
"556",2002-03-22,17.77,"2002-03"
"557",2002-03-25,18.48,"2002-03"
"558",2002-03-26,18.13,"2002-03"
"559",2002-03-27,17.7,"2002-03"
"560",2002-03-28,17.4,"2002-03"
"561",2002-04-01,18.73,"2002-04"
"562",2002-04-02,19.16,"2002-04"
"563",2002-04-03,20.2,"2002-04"
"564",2002-04-04,19.78,"2002-04"
"565",2002-04-05,19.13,"2002-04"
"566",2002-04-08,19.61,"2002-04"
"567",2002-04-09,19.47,"2002-04"
"568",2002-04-10,18.19,"2002-04"
"569",2002-04-11,20.3,"2002-04"
"570",2002-04-12,19.42,"2002-04"
"571",2002-04-15,19.82,"2002-04"
"572",2002-04-16,18.11,"2002-04"
"573",2002-04-17,18.43,"2002-04"
"574",2002-04-18,19.29,"2002-04"
"575",2002-04-19,18.3,"2002-04"
"576",2002-04-22,19.77,"2002-04"
"577",2002-04-23,20.28,"2002-04"
"578",2002-04-24,20.77,"2002-04"
"579",2002-04-25,20.95,"2002-04"
"580",2002-04-26,22.14,"2002-04"
"581",2002-04-29,24.05,"2002-04"
"582",2002-04-30,21.91,"2002-04"
"583",2002-05-01,20.06,"2002-05"
"584",2002-05-02,20.07,"2002-05"
"585",2002-05-03,20.19,"2002-05"
"586",2002-05-06,22.56,"2002-05"
"587",2002-05-07,21.94,"2002-05"
"588",2002-05-08,20.39,"2002-05"
"589",2002-05-09,21.56,"2002-05"
"590",2002-05-10,22.41,"2002-05"
"591",2002-05-13,20.72,"2002-05"
"592",2002-05-14,19.35,"2002-05"
"593",2002-05-15,19.19,"2002-05"
"594",2002-05-16,18.5,"2002-05"
"595",2002-05-17,17.7,"2002-05"
"596",2002-05-20,19.24,"2002-05"
"597",2002-05-21,20.05,"2002-05"
"598",2002-05-22,19.58,"2002-05"
"599",2002-05-23,18.23,"2002-05"
"600",2002-05-24,18.9,"2002-05"
"601",2002-05-28,20.31,"2002-05"
"602",2002-05-29,20.39,"2002-05"
"603",2002-05-30,20.61,"2002-05"
"604",2002-05-31,19.98,"2002-05"
"605",2002-06-03,23.37,"2002-06"
"606",2002-06-04,23.89,"2002-06"
"607",2002-06-05,22.61,"2002-06"
"608",2002-06-06,24.16,"2002-06"
"609",2002-06-07,23.51,"2002-06"
"610",2002-06-10,23.72,"2002-06"
"611",2002-06-11,24.45,"2002-06"
"612",2002-06-12,24.15,"2002-06"
"613",2002-06-13,25.02,"2002-06"
"614",2002-06-14,25.96,"2002-06"
"615",2002-06-17,24.64,"2002-06"
"616",2002-06-18,24.24,"2002-06"
"617",2002-06-19,26.06,"2002-06"
"618",2002-06-20,27.48,"2002-06"
"619",2002-06-21,27.23,"2002-06"
"620",2002-06-24,26.98,"2002-06"
"621",2002-06-25,27.84,"2002-06"
"622",2002-06-26,28.42,"2002-06"
"623",2002-06-27,26.29,"2002-06"
"624",2002-06-28,25.4,"2002-06"
"625",2002-07-01,27.11,"2002-07"
"626",2002-07-02,28.96,"2002-07"
"627",2002-07-03,29.42,"2002-07"
"628",2002-07-05,27.11,"2002-07"
"629",2002-07-08,28.25,"2002-07"
"630",2002-07-09,30.22,"2002-07"
"631",2002-07-10,34.1,"2002-07"
"632",2002-07-11,33.85,"2002-07"
"633",2002-07-12,32.94,"2002-07"
"634",2002-07-15,35.03,"2002-07"
"635",2002-07-16,36.65,"2002-07"
"636",2002-07-17,35.45,"2002-07"
"637",2002-07-18,35.12,"2002-07"
"638",2002-07-19,38.17,"2002-07"
"639",2002-07-22,41.87,"2002-07"
"640",2002-07-23,44.92,"2002-07"
"641",2002-07-24,39.86,"2002-07"
"642",2002-07-25,39.27,"2002-07"
"643",2002-07-26,35.51,"2002-07"
"644",2002-07-29,31.33,"2002-07"
"645",2002-07-30,31.92,"2002-07"
"646",2002-07-31,32.03,"2002-07"
"647",2002-08-01,36.95,"2002-08"
"648",2002-08-02,41.29,"2002-08"
"649",2002-08-05,45.08,"2002-08"
"650",2002-08-06,42.03,"2002-08"
"651",2002-08-07,38.73,"2002-08"
"652",2002-08-08,36.33,"2002-08"
"653",2002-08-09,35.33,"2002-08"
"654",2002-08-12,37.05,"2002-08"
"655",2002-08-13,35.82,"2002-08"
"656",2002-08-14,32.36,"2002-08"
"657",2002-08-15,29.43,"2002-08"
"658",2002-08-16,28.81,"2002-08"
"659",2002-08-19,28.61,"2002-08"
"660",2002-08-20,29.59,"2002-08"
"661",2002-08-21,28.23,"2002-08"
"662",2002-08-22,27.75,"2002-08"
"663",2002-08-23,29.32,"2002-08"
"664",2002-08-26,29.89,"2002-08"
"665",2002-08-27,30.11,"2002-08"
"666",2002-08-28,33.32,"2002-08"
